Nitinstorage,nitin42nagpal,17108,azure,https://github.com/nitin42nagpal/terraform-azure-Nitinstorage,
OOOOOOO,k-kotov,11669,aws,https://github.com/k-kotov/terraform-aws-OOOOOOO,
OpenAI,bootlabstech,23958,azurerm,https://github.com/bootlabstech/terraform-azurerm-OpenAI,
Phonebook-Application,gokhanwell,19595,aws,https://github.com/gokhanwell/terraform-aws-Phonebook-Application,terraform-aws-Phonebook-Application 
PrivateLinkServiceForwarderSqlMi,preddy727,4944,azurerm,https://github.com/preddy727/terraform-azurerm-PrivateLinkServiceForwarderSqlMi,Forward private traffic to SQL MI through a scale set proxy
RDS-Module,sylviewn,22106,AWS,https://github.com/sylviewn/terraform-AWS-RDS-Module,
Rajesh,1994RajeshKundu,13658,azure,https://github.com/1994RajeshKundu/terraform-azure-Rajesh,
Redislabs-Cloud-Account-Resources,TobyHFerguson,7261,aws,https://github.com/TobyHFerguson/terraform-aws-Redislabs-Cloud-Account-Resources,Terraform module to create AWS resources for a Redis Labs Cloud Account
SSM-EC2StopStart,ClaxtonOps,23768,aws,https://github.com/ClaxtonOps/terraform-aws-SSM-EC2StopStart,
Service-account,clouddrove,16945,gcp,https://github.com/clouddrove/terraform-gcp-Service-account,
SingleRegion-MultiAZ-Module,WEEMR,8594,aws,https://github.com/WEEMR/terraform-aws-SingleRegion-MultiAZ-Module," Terraform code to deploy Single VPC in US-East-1 Region and Create a public and a Private subnet in AZ1 and AZ2 to deploy High Availability resources"
SingleRegion-SingleAZ-Module,WEEMR,8607,aws,https://github.com/WEEMR/terraform-aws-SingleRegion-SingleAZ-Module,Terraform code to deploy Single VPC in US-East-1 Region and Create a public and a Private subnet
SnsToCiscoSpark,johntdyer,852,aws,https://github.com/johntdyer/terraform-aws-snsToWebexTeams,Terraform module to send SNS notifications to Cisco spark space
SpeechServices,bootlabstech,23960,azurerm,https://github.com/bootlabstech/terraform-azurerm-SpeechServices,
TestModuleLock,ThomasVanR,24873,azure,https://github.com/ThomasVanR/terraform-azure-TestModuleLock,
ThreeTierAppProject,AnastasiyaOhal,22777,aws,https://github.com/AnastasiyaOhal/terraform-aws-ThreeTierAppProject,Project for group 2
VNET-SS-SQL,AdrianaHk,12867,azure,https://github.com/adrianahk/terraform-azure-VNET-SS-SQL,
